y,e,z,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10
-1.209478696,1,0.373945642,1,0,1,0,1,1,2,1,0,0
0.48918081,0,0.5722055266,0,0,1,1,1,2,1,1,0,0
1.35535607,0,1.3704907016,2,1,0,1,0,1,0,2,2,1
-0.720481628,0,0.4905557529,0,2,0,2,1,1,1,1,1,1
-0.645503923,0,-0.432316875,1,0,2,2,1,2,1,1,1,1
1.2231344203,0,-0.522383151,2,1,1,1,2,0,1,1,1,2
0.9954776762,1,-0.332808971,1,0,2,2,2,0,1,0,1,1
-0.025989932,0,-2.431704678,1,0,1,2,1,1,1,1,2,1
1.3724778391,0,0.4351210202,0,1,2,1,2,1,1,1,2,1
2.5586112108,0,1.53661408,2,1,2,1,1,1,2,1,1,0
1.8608452985,1,0.1811690612,1,1,1,2,2,2,0,1,1,2
1.0236252018,1,-0.050068553,2,1,0,1,1,1,1,1,2,0
2.4597201795,0,1.7932698992,2,1,1,1,0,1,1,2,1,1
4.6053355605,1,1.8921035287,0,0,2,2,2,1,2,1,0,1
2.3366816577,1,2.1358472638,0,1,1,1,1,1,0,0,1,0
0.0972728643,1,-0.920601163,1,1,1,2,1,2,0,2,1,2
-1.056264554,1,-1.420239682,0,1,0,2,2,2,2,1,2,2
1.0192178415,0,0.3538171058,1,1,1,1,1,1,2,1,1,1
0.9852575975,0,0.1190964432,2,1,2,1,2,1,2,1,2,2
-0.447483126,1,1.0020512172,2,1,1,1,1,2,1,1,1,1
2.6675340686,1,1.2122768756,1,0,1,2,2,1,1,2,0,0
0.4661660847,1,-2.020830553,1,1,1,1,1,1,0,1,2,1
1.24178899,0,-0.807777458,2,1,1,1,2,0,1,1,1,2
0.1656704487,1,0.9317568055,1,1,2,1,1,1,1,0,1,1
-1.071806971,1,-1.846031639,2,1,0,1,2,2,0,2,2,1
0.4991353744,0,0.9295343893,1,1,1,1,1,0,0,1,1,0
-1.986317356,1,-1.477317763,1,1,2,2,1,2,2,2,1,0
-1.160152816,1,-0.523363632,1,1,1,1,0,0,2,1,2,2
2.96489208,0,0.6751518808,0,1,0,2,2,0,1,0,0,2
0.3854957352,0,-0.488279251,2,1,1,2,0,1,2,0,1,0
-1.299546026,0,-0.054154143,0,1,1,2,0,2,0,2,1,1
2.7853286626,0,1.3640407023,2,2,0,1,1,1,2,1,0,2
2.8420331763,1,2.4392560951,1,1,2,1,0,2,1,0,2,2
-1.999960922,1,-2.576552918,1,2,2,2,1,1,1,2,1,2
-0.044922644,0,-0.55017641,2,1,0,2,0,1,1,2,2,0
-0.557561176,0,-1.159560112,1,0,1,2,1,1,0,2,0,2
0.1479116172,1,0.2984337678,1,1,0,2,1,1,1,2,0,1
-0.680415979,0,-1.219286188,1,1,2,1,0,1,1,1,0,0
1.8455270833,1,1.0263706903,1,2,1,1,0,1,2,1,2,1
-0.87626989,0,0.3532466211,0,2,1,1,2,0,0,1,2,0
0.3377895303,0,-0.483291534,2,0,1,1,2,1,1,2,1,0
0.1966910719,1,-0.172639129,1,1,0,1,2,1,2,2,1,2
1.0210238484,1,0.5837329905,1,1,2,1,0,1,0,1,1,1
-0.741868614,0,0.3339627816,0,0,0,2,2,0,1,1,1,1
0.8697648947,1,0.1156852873,1,1,1,0,1,1,1,1,2,1
1.343689716,0,0.7631865779,1,1,2,0,1,2,2,0,2,1
1.1166113693,1,-1.279279842,0,1,1,0,0,0,1,1,1,0
-2.796408561,1,-1.643551867,1,1,2,2,2,0,1,1,1,2
-0.409006881,1,-0.965705202,1,1,0,1,2,1,1,1,1,2
0.4677748957,1,0.356507495,2,1,0,2,1,1,0,1,1,2
-1.360165721,1,-0.768357373,1,1,2,1,2,0,0,1,2,2
-0.035212293,0,0.1225286835,1,2,2,2,1,0,2,0,1,2
2.4649098494,0,1.567086932,2,2,1,1,1,2,0,2,1,1
1.1732808709,1,-0.101660339,1,2,1,2,1,0,1,1,1,2
